[2024-06-22T02:33:33.930] [ERROR] access - ::0 GET /account/login HTTP/1.1 4046 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:34:33.089] [ERROR] access - ::0 GET /account/login HTTP/1.1 4046 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:38:53.124] [ERROR] access - ::0 GET /account/login HTTP/1.1 4041 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:39:20.054] [INFO] access - ::0 GET / HTTP/1.1 20017 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:39:20.066] [ERROR] access - ::0 GET /public/stylesheets/index.css HTTP/1.1 4041 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:39:20.069] [ERROR] access - ::0 GET /public/stylesheets/common.css HTTP/1.1 4044 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:39:24.365] [ERROR] access - ::0 GET /search?keyword= HTTP/1.1 4041 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:42:34.144] [INFO] access - ::0 GET / HTTP/1.1 20016 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:42:34.154] [ERROR] access - ::0 GET /public/stylesheets/common.css HTTP/1.1 4043 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:42:34.156] [ERROR] access - ::0 GET /public/stylesheets/index.css HTTP/1.1 4044 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:42:34.427] [ERROR] access - ::0 GET /favicon.ico HTTP/1.1 4041 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:42:38.692] [ERROR] access - ::0 GET /search?keyword= HTTP/1.1 4041 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:42:48.277] [WARN] access - ::0 GET / HTTP/1.1 3046 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:42:48.285] [ERROR] access - ::0 GET /public/stylesheets/common.css HTTP/1.1 4041 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:42:48.287] [ERROR] access - ::0 GET /public/stylesheets/index.css HTTP/1.1 4044 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:49:03.445] [INFO] access - ::0 GET / HTTP/1.1 20016 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:49:03.456] [ERROR] access - ::0 GET /public/stylesheets/common.css HTTP/1.1 4043 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T02:49:03.458] [ERROR] access - ::0 GET /public/stylesheets/index.css HTTP/1.1 4045 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:02:00.975] [INFO] access - ::0 GET / HTTP/1.1 20018 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:02:00.988] [ERROR] access - ::0 GET /public/stylesheets/common.css HTTP/1.1 4045 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:02:00.992] [ERROR] access - ::0 GET /public/stylesheets/index.css HTTP/1.1 4047 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:02:07.951] [WARN] access - ::0 GET / HTTP/1.1 3045 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:02:07.962] [ERROR] access - ::0 GET /public/stylesheets/common.css HTTP/1.1 4042 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:02:07.964] [ERROR] access - ::0 GET /public/stylesheets/index.css HTTP/1.1 4042 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:02:09.515] [WARN] access - ::0 GET / HTTP/1.1 3045 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:02:09.527] [ERROR] access - ::0 GET /public/stylesheets/common.css HTTP/1.1 4043 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:02:09.529] [ERROR] access - ::0 GET /public/stylesheets/index.css HTTP/1.1 4045 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:25:27.937] [INFO] access - ::0 GET / HTTP/1.1 20018 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:25:27.950] [ERROR] access - ::0 GET /public/stylesheets/index.css HTTP/1.1 4044 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:25:27.952] [ERROR] access - ::0 GET /css/styles.css HTTP/1.1 4045 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:25:27.954] [ERROR] access - ::0 GET /assets/img/ipad.png HTTP/1.1 4047 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:25:27.956] [ERROR] access - ::0 GET /assets/img/bg-masthead.jpg HTTP/1.1 4047 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:25:27.959] [ERROR] access - ::0 GET /assets/img/demo-image-01.jpg HTTP/1.1 40410 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:25:27.962] [ERROR] access - ::0 GET /assets/img/demo-image-02.jpg HTTP/1.1 4044 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:25:27.963] [ERROR] access - ::0 GET /js/scripts.js HTTP/1.1 4045 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
[2024-06-22T03:25:28.565] [ERROR] access - ::0 GET /css/styles.css HTTP/1.1 4041 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0 
